x Value, Relative Error
-1,4.42676649670846
-0.998,4.34893684833382
-0.996,4.27176034469317
-0.994,4.19523399582888
-0.992,4.11935481778119
-0.99,4.04411983258829
-0.988,3.96952606828625
-0.986,3.89557055890905
-0.984,3.8222503444886
-0.982,3.7495624710547
-0.98,3.67750399063507
-0.978,3.60607196125532
-0.976,3.535263446939
-0.974,3.46507551770755
-0.972,3.39550524958031
-0.97,3.32654972457454
-0.968,3.25820603070543
-0.966,3.19047126198603
-0.964,3.12334251842735
-0.962,3.05681690603827
-0.96,2.99089153682561
-0.958,2.92556352879408
-0.956,2.86083000594629
-0.954,2.79668809828279
-0.952,2.73313494180201
-0.95,2.6701676785003
-0.948,2.60778345637193
-0.946,2.54597942940906
-0.944,2.48475275760177
-0.942,2.42410060693804
-0.94,2.36402014940378
-0.938,2.30450856298279
-0.936,2.24556303165677
-0.934,2.18718074540536
-0.932,2.12935890020607
-0.93,2.07209469803437
-0.928,2.01538534686359
-0.926,1.95922806066499
-0.924,1.90362005940774
-0.922,1.84855856905892
-0.92,1.79404082158351
-0.918,1.74006405494441
-0.916,1.68662551310243
-0.914,1.63372244601626
-0.912,1.58135210964254
-0.91,1.5295117659358
-0.908,1.47819868284848
-0.906,1.42741013433092
-0.904,1.37714340033139
-0.902,1.32739576679604
-0.9,1.27816452566897
-0.898,1.22944697489214
-0.896,1.18124041840546
-0.894,1.13354216614673
-0.892,1.08634953405166
-0.89,1.03965984405388
-0.888,0.993470424084901
-0.886,0.947778608074176
-0.884,0.902581735949052
-0.882,0.857877153634784
-0.88,0.813662213054538
-0.878,0.769934272129391
-0.876,0.726690694778325
-0.874,0.683928850918236
-0.872,0.641646116463924
-0.87,0.599839873328104
-0.868,0.55850750942139
-0.866,0.517646418652316
-0.864,0.477254000927319
-0.862,0.437327662150748
-0.86,0.397864814224856
-0.858,0.358862875049813
-0.856,0.320319268523691
-0.854,0.282231424542472
-0.852,0.244596779000052
-0.85,0.207412773788228
-0.848,0.170676856796716
-0.846,0.134386481913132
-0.844,0.0985391090230065
-0.842,0.0631322040097746
-0.84,0.0281632387547849
-0.838,-0.00637030886270633
-0.836,-0.0404709549655359
-0.834,-0.0741412096786293
-0.832,-0.107383577129001
-0.83,-0.140200555445765
-0.828,-0.172594636760118
-0.826,-0.20456830720535
-0.824,-0.23612404691684
-0.822,-0.267264330032063
-0.82,-0.297991624690581
-0.818,-0.328308393034049
-0.816,-0.358217091206209
-0.814,-0.387720169352901
-0.812,-0.41682007162205
-0.81,-0.445519236163673
-0.808,-0.473820095129881
-0.806,-0.501725074674873
-0.804,-0.529236594954939
-0.802,-0.556357070128463
-0.8,-0.583088908355917
-0.798,-0.609434511799865
-0.796,-0.63539627662496
-0.794,-0.660976592997949
-0.792,-0.68617784508767
-0.79,-0.711002411065048
-0.788,-0.735452663103104
-0.786,-0.759530967376947
-0.784,-0.783239684063778
-0.782,-0.806581167342887
-0.78,-0.829557765395661
-0.778,-0.852171820405568
-0.776,-0.874425668558176
-0.774,-0.89632164004114
-0.772,-0.917862059044205
-0.77,-0.939049243759211
-0.768,-0.959885506380085
-0.766,-0.980373153102846
-0.764,-1.00051448412561
-0.762,-1.02031179364857
-0.76,-1.03976736987402
-0.758,-1.05888349500634
-0.756,-1.07766244525202
-0.754,-1.09610649081961
-0.752,-1.11421789591977
-0.75,-1.13199891876525
-0.748,-1.14945181157089
-0.746,-1.16657882055361
-0.744,-1.18338218593244
-0.742,-1.19986414192849
-0.74,-1.21602691676496
-0.738,-1.23187273266714
-0.736,-1.24740380586241
-0.734,-1.26262234658026
-0.732,-1.27753055905225
-0.73,-1.29213064151203
-0.728,-1.30642478619535
-0.726,-1.32041517934006
-0.724,-1.33410400118608
-0.722,-1.34749342597543
-0.72,-1.36058562195222
-0.718,-1.37338275136267
-0.716,-1.38588697045505
-0.714,-1.39810042947977
-0.712,-1.41002527268928
-0.71,-1.42166363833816
-0.708,-1.43301765868307
-0.706,-1.44408945998276
-0.704,-1.45488116249806
-0.702,-1.46539488049191
-0.7,-1.47563272222932
-0.698,-1.48559678997742
-0.696,-1.4952891800054
-0.694,-1.50471198258456
-0.692,-1.51386728198828
-0.69,-1.52275715649205
-0.688,-1.53138367837342
-0.686,-1.53974891391206
-0.684,-1.54785492338971
-0.682,-1.55570376109023
-0.68,-1.56329747529953
-0.678,-1.57063810830564
-0.676,-1.57772769639868
-0.674,-1.58456826987084
-0.672,-1.59116185301643
-0.67,-1.59751046413183
-0.668,-1.60361611551552
-0.666,-1.60948081346807
-0.664,-1.61510655829212
-0.662,-1.62049534429245
-0.66,-1.62564915977588
-0.658,-1.63056998705135
-0.656,-1.63525980242988
-0.654,-1.63972057622459
-0.652,-1.64395427275068
-0.65,-1.64796285032545
-0.648,-1.65174826126828
-0.646,-1.65531245190066
-0.644,-1.65865736254615
-0.642,-1.6617849275304
-0.64,-1.66469707518119
-0.638,-1.66739572782833
-0.636,-1.66988280180378
-0.634,-1.67216020744154
-0.632,-1.67422984907774
-0.63,-1.67609362505059
-0.628,-1.67775342770037
-0.626,-1.67921114336948
-0.624,-1.6804686524024
-0.622,-1.68152782914569
-0.62,-1.68239054194802
-0.618,-1.68305865316014
-0.616,-1.68353401913488
-0.614,-1.6838184902272
-0.612,-1.6839139107941
-0.61,-1.6838221191947
-0.608,-1.68354494779022
-0.606,-1.68308422294395
-0.604,-1.68244176502127
-0.602,-1.68161938838968
-0.6,-1.68061890141872
-0.598,-1.67944210648008
-0.596,-1.6780907999475
-0.594,-1.67656677219683
-0.592,-1.67487180760599
-0.59,-1.67300768455502
-0.588,-1.67097617542604
-0.586,-1.66877904660323
-0.584,-1.66641805847292
-0.582,-1.66389496542349
-0.58,-1.66121151584541
